ep,umin,umax,vus,rps,med_ms,p95_ms,p99_ms,err_rate
/api/v1/bets?limit=20,1,50,5,113.2,39,75,85,0.0000
/api/v1/bets?limit=20,1,50,10,120.1,76,119,138,0.0000
/api/v1/bets?limit=20,1,50,20,120.5,162,210,250,0.0000
/api/v1/bets?limit=20,1,50,40,115.9,337,406,459,0.0000
/api/v1/promotions/team/tree,51,80,5,71.6,66,104,123,0.0000
/api/v1/promotions/team/tree,51,80,10,75.1,129,181,205,0.0000
/api/v1/promotions/team/tree,51,80,20,75.5,261,329,368,0.0000
/api/v1/promotions/team/tree,51,80,40,72.4,541,644,685,0.0000
/api/v1/promotions/team/downlines?level=1&page=1,51,80,5,160.3,27,62,69,0.0000
/api/v1/promotions/team/downlines?level=1&page=1,51,80,10,164.3,54,94,107,0.0000
/api/v1/promotions/team/downlines?level=1&page=1,51,80,20,164.3,113,158,179,0.0000
/api/v1/promotions/team/downlines?level=1&page=1,51,80,40,156.2,255,300,336,0.0000
/api/v1/rebate/progress,1,50,5,185.9,25,41,61,0.0000
/api/v1/rebate/progress,1,50,10,190.6,50,82,101,0.0000
/api/v1/rebate/progress,1,50,20,188.6,101,142,180,0.0000
/api/v1/rebate/progress,1,50,40,187.4,211,272,299,0.0000
/api/v1/ledger?limit=20,1,50,5,228.0,19,46,60,0.0000
/api/v1/ledger?limit=20,1,50,10,244.1,36,72,83,0.0000
/api/v1/ledger?limit=20,1,50,20,249.8,74,117,135,0.0000
/api/v1/ledger?limit=20,1,50,40,245.4,160,225,259,0.0000
/api/v1/wallet/balances,1,500,10,468.3,19,42,58,0.0000
/api/v1/wallet/balances,1,500,40,502.5,72,118,139,0.0000
/api/v1/user/me,1,500,10,433.4,20,46,61,0.0000
/api/v1/user/me,1,500,40,441.4,82,135,169,0.0000
/api/v1/slots/games?limit=30&offset=0,1,500,10,505.1,19,30,45,0.0000
/api/v1/slots/games?limit=30&offset=0,1,500,40,506.6,76,114,138,0.0000
/api/v1/tasks,1,50,10,45.1,223,296,339,0.0000
/api/v1/tasks,1,50,40,42.5,934,1062,1116,0.0000
/api/v1/vip/progress,1,50,10,77.9,123,168,191,0.0000
/api/v1/vip/progress,1,50,40,74.9,528,608,644,0.0000
/api/v1/promotions/checkin/status,1,500,10,191.1,47,85,98,0.0000
/api/v1/promotions/checkin/status,1,500,40,181.9,221,264,304,0.0000
/api/v1/deposits,1,50,10,342.9,25,59,68,0.0000
/api/v1/deposits,1,50,40,357.7,103,162,188,0.0000
/api/v1/withdrawals,1,50,10,293.6,30,64,74,0.0000
/api/v1/withdrawals,1,50,40,299.9,127,189,228,0.0000
/api/v1/home/content,1,500,20,945.9,19,36,49,0.0000
/api/v1/slots/homepage,1,500,20,305.6,60,91,111,0.0000
/api/v1/vip/levels,1,500,20,115.6,172,212,240,0.0000
/api/v1/rebate/config,1,500,20,244.5,77,119,144,0.0000
/api/v1/promotions/config,1,500,20,603.9,29,57,71,0.0000
