vus,page_opens_per_s,req_rps,iter_med_ms,iter_p95_ms,req_p95_ms,err_rate,load1_end,mem_avail_end
10,61.7,254.2,112,379,337,0.0000,9.18,844
20,60.3,249.0,213,850,703,0.0000,10.21,834
40,60.5,248.4,392,1822,1441,0.0000,10.17,833
60,57.4,236.4,568,2971,2388,0.0000,10.13,815
