game_id,game_provider_id,provider,name_en,site_cat,eff_weight,ov_weight,ov_featured,is_enabled,device,reason
319,16,FunkyGames,Clover Brew,slot,9973,,,1,d/m,game_absent
64,22,Yggdrasil,9kYeti,slot,9973,,,1,d/m,game_absent
577,29,MicroGaming,Treasure Gems,slot,9973,,,1,d/m,provider_absent
813,38,PragmaticPlayCasino,Brazilian Baccarat 1,other,9973,,,1,,game_absent
21,1009,MPoker,Xoc Dia,casino,9973,,,1,d/m,provider_absent
20,1012,TCGaming,Ho Chi Minh,lottery,9973,,,1,"d,m",provider_absent
54,1016,AFBGaming,Crazy Fishing,fishing,9973,,,1,"d,m",provider_absent
0,1021,OGLive,OGLive Lobby,lobby,9973,,,1,"d,m",provider_absent+no_php_usd
143,1025,PlayTech,Fashion TV Baccarat,other,9973,,,0,d/m,game_absent
111,1026,Rich88,Big Bass Bonanza,slot,9973,,,1,d/m,provider_absent
62,1032,RelaxGaming,Money Train 3,slot,9973,,,1,"d,m",provider_absent
66,1036,Live22,Space Quest: Mars,slot,9973,,,1,d/m,provider_absent
4,1045,MikiWorld,LiveDice,casino,9973,,,0,"d,m",provider_absent
20,1047,GamePlaySlot,Mafia,slot,9973,,,1,"d,m",provider_absent
25,1050,BoleGaming,Baccarat,casino,9973,,,1,"d,m",provider_absent
9,1054,LambdaGaming,8Bit Mini Plinko,perya,9973,,,0,d/m,provider_absent
10,1056,Phoenix7,HAMMER & THUNDER,slot,9973,,,1,d/m,provider_absent
38,1057,CC88,Wu Lu Cai Shen,slot,9973,,,1,d/m,provider_absent
36,1059,ClotPlay,Legend Slot: WuKong (CP),slot,9973,,,1,d/m,provider_absent
18,1060,PegasusSlot,TaichiFortuna,slot,9973,,,1,"d,m",provider_absent
20,1062,DragoonSoft,Rich Lion,slot,9973,,,1,"d,m",provider_absent
21,1064,ViaCasino,Lotto Xoc Dia,casino,9973,,,0,d/m,provider_absent
18,1066,Nextspin,7 Dragons,slot,9973,,,1,"d,m",provider_absent
10,1068,TomHorn,81 Vegas Magic,slot,9973,,,1,"d,m",provider_absent
18,1071,5GGames,Candy Gala,slot,9973,,,0,"d,m",game_absent
38,1075,PoggiPlay,Mines,perya,9973,,,1,d/m,provider_absent
74,1079,Fastspin,Goal Go Win,slot,9973,,,1,d/m,provider_absent
59,1082,Vgaming,Big Small,casino,9973,,,1,"d,m",provider_absent+no_php_usd
30,1084,SPlus,Fruits Land,slot,9973,,,1,"d,m",provider_absent
8,1088,Ezugi,Lucky 7,other,9973,,,1,d/m,provider_absent
19,1089,RoyalSlotGaming,Buffalo,slot,9973,,,1,"d,m",provider_absent
19,1091,IDNSlot,The Curse of Medusa,slot,9973,,,1,d/m,provider_absent
26,1092,IDNLive,Oglok,casino,9973,,,1,d/m,provider_absent
393,2,168game,Watah Master,lobby,9972,,,1,d/m,provider_absent
37,5,BigGaming,Baccarat B17,casino,9972,,,1,d/m,provider_absent
27,7,SexyGaming,SexyBaccaratC04,casino,9972,,,1,d/m,provider_absent
148,10,JokerGaming,Silver Bullet,slot,9972,,,1,d/m,provider_absent
330,13,WorldMatch,Striking Viking,slot,9972,,,1,d/m,provider_absent
12,14,SBOSlot,1c dafudacai-FlowerOfRiches,slot,9972,,,1,d/m,provider_absent+no_php_usd
314,16,FunkyGames,Cash Booster,slot,9972,,,1,d/m,game_absent
