game_id,game_provider_id,provider,name_en,site_cat,eff_weight,ov_weight,ov_featured,is_enabled,device,reason
40,1065,,Wishes of the Genie,slot,9986,,,1,"d,m",厂商名脏数据()
1,1078,,Pumpkin Farm,slot,9986,,,1,"d,m",厂商名脏数据()
13,1080,LuckySports,Darts,sports,9986,,,1,"d,m","special:体育类,人工确认"
37,1083,,Spinning Buddha,slot,9986,,,1,"d,m",厂商名脏数据()
15,1085,,Fireworks Blessings,slot,9986,,,1,"d,m",厂商名脏数据()
45,1088,,Ultimate Flip,casino,9986,,,1,d/m,厂商名脏数据()
4,1099,0,Karunya Plus,lottery,9986,,,1,"d,m",厂商名脏数据(0)
27,1065,,Gold Seekers,slot,9985,,,1,d/m,厂商名脏数据()
8,1078,,Road to Mystic OZ,slot,9985,,,1,"d,m",厂商名脏数据()
14,1080,LuckySports,Field Hockey,sports,9985,,,1,"d,m","special:体育类,人工确认"
43,1083,,Pinata Loca,slot,9985,,,1,"d,m",厂商名脏数据()
5,1099,0,Suvarana Keralam,lottery,9985,,,1,"d,m",厂商名脏数据(0)
15,1080,LuckySports,Formula 1,sports,9984,,,1,"d,m","special:体育类,人工确认"
12,1083,,Diamond Blackjack,casino,9984,,,1,"d,m",厂商名脏数据()
6,1099,0,Karunya,lottery,9984,,,1,"d,m",厂商名脏数据(0)
21,1078,,Buffalo Gold,slot,9983,,,1,"d,m",厂商名脏数据()
16,1080,LuckySports,Futsal,sports,9983,,,1,"d,m","special:体育类,人工确认"
15,1083,,Piggy Party,slot,9983,,,1,"d,m",厂商名脏数据()
8,1085,,Mining Maestro,slot,9983,,,1,"d,m",厂商名脏数据()
7,1099,0,Samrudhi,lottery,9983,,,1,"d,m",厂商名脏数据(0)
26,1065,,Wrath of Zeus,slot,9982,,,1,d/m,厂商名脏数据()
7,1078,,Treasure of Zeus,slot,9982,,,1,"d,m",厂商名脏数据()
17,1080,LuckySports,Golf,sports,9982,,,1,"d,m","special:体育类,人工确认"
48,1085,,Eternal Night Clash,slot,9982,,,1,d/m,厂商名脏数据()
44,1088,,EZ Marble Race Monaco,casino,9982,,,1,d/m,厂商名脏数据()
8,1099,0,Online Only,lottery,9982,,,1,"d,m",厂商名脏数据(0)
