id,gameId,name,platformName,gameType,imageUrl,localImage
"11746","SGCandyTower","Candy Tower","HBN","5","https://pub.imgscache.com/compic/f35bb010-4bb6-40af-9b28-440d2fa2b707.webp","images/HBN__Candy_Tower__11746.webp"
"11381","115","Agent Ace","JILI","5","https://pub.imgscache.com/compic/f6184bfe-1e76-4493-a6f3-a2b7b10f3878.webp","images/JILI__Agent_Ace__11381.webp"
"14022","VPCQS32","Top Ace 2","CQ9","5","https://pub.imgscache.com/compic/3180e7a0-5a6f-43e3-a7d5-6adc84f6b2b5.webp","images/CQ9__Top_Ace_2__14022.webp"
"13750","LotusSicBo000001","Lotus Sic Bo","EVOLUTION","17","https://pub.imgscache.com/compic/6074a59b-64f3-412c-91c6-0bda1edd18eb.webp","images/EVOLUTION__Lotus_Sic_Bo__13750.webp"
"14269","cbjl;cbjl_italianbj","Italian Cashback Blackjack","PT","17","https://pub.imgscache.com/compic/fe0de042-48aa-4a71-92fd-dba7e05b855c.webp","images/PT__Italian_Cashback_Blackjack__14269.webp"
"10936","regalbeasts00000","Regal Beasts","REDTIGER","5","https://pub.imgscache.com/compic/cfdc266c-e62e-4f02-8313-4ad95ba67c74.webp","images/REDTIGER__Regal_Beasts__10936.webp"
"13484","622","3 Coin Wild Tiger","JILI","5","https://pub.imgscache.com/compic/ba8368f1-2645-45ef-b235-8ba8e46029cc.webp","images/JILI__3_Coin_Wild_Tiger__13484.webp"
"13516","frozen-age","Frozen Age","PNS","5","https://pub.imgscache.com/compic/6181c572-47d5-4b59-bf29-61d033c579c8.webp","images/PNS__Frozen_Age__13516.webp"
"12745","201372","Keep'em","HACKSAW","5","https://pub.imgscache.com/compic/ad2b6856-8480-43f4-af30-5e26f924c83e.webp","images/HACKSAW__Keep_em__12745.webp"
"14040","6004","Drop Ball","Spin Master","5","https://pub.imgscache.com/compic/8e2930d3-61ca-4cd1-a0e8-3abee9e451bd.webp","images/Spin_Master__Drop_Ball__14040.webp"
"13977","1_1100018","Monster Hunt Wilds","TPG","5","https://pub.imgscache.com/compic/0173c4c5-086b-43d7-8aa6-40b4900bfced.webp","images/TPG__Monster_Hunt_Wilds__13977.webp"
"11499","18_334","Bonus Wheel Jungle","RTG","5","https://pub.imgscache.com/compic/c8a67e4e-de63-4f2f-82de-07d8b3f8b2f5.webp","images/RTG__Bonus_Wheel_Jungle__11499.webp"
"10668","SGZeus","Zeus","HBN","5","https://pub.imgscache.com/compic/8c8628ea-c4a7-417a-8a6e-a5c8b2691c19.webp","images/HBN__Zeus__10668.webp"
"10511","29","Dragon Legend","PG","5","https://pub.imgscache.com/compic/f88dd348-9f73-4d0c-84f7-14606bd45493.webp","images/PG__Dragon_Legend__10511.webp"
"11043","195","Lord Ganesha","CQ9","5","https://pub.imgscache.com/compic/b4054080-80b4-439c-9492-f3be27f583c1.webp","images/CQ9__Lord_Ganesha__11043.webp"
